Elo	Username	W	L	T	Last update
1332	Bunny Stockfish	1	0	0	Mon Sep 21 2026 21:38:44 GMT+0000 (Coordinated Universal Time)
1000	SlimeQueenSamantha	0	1	0	Mon Sep 21 2026 21:38:44 GMT+0000 (Coordinated Universal Time)
