Elo	Username	W	L	T	Last update
1498.9665994828842	TheRealWhimsicott	25	4	0	Fri Sep 18 2026 20:19:22 GMT+0000 (Coordinated Universal Time)
1413.4560814761285	SlimeQueenSamantha	58	23	0	Fri Sep 25 2026 00:30:48 GMT+0000 (Coordinated Universal Time)
1380.639217907859	Bunny Stockfish	23	80	0	Fri Sep 25 2026 00:30:48 GMT+0000 (Coordinated Universal Time)
1318.911009020211	Bunny Champion	3	3	0	Thu Sep 17 2026 22:33:47 GMT+0000 (Coordinated Universal Time)
1315.91	Bunny Hard rpOU	1	0	0	Mon Sep 14 2026 14:39:21 GMT+0000 (Coordinated Universal Time)
1283	Bunny Hard	0	0	0	
1211	Bunny Normal rpOU	0	0	0	
1211	Bunny Normal	0	0	0	
1003	Bunny Easy	0	0	0	
